date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:20	110/110	---M--	200	added ('OK')	text/plain	etag:%22617b6b19-6e%22	http://www.qzxywy.com/robots.txt		(from )
10:33:22	72544/72544	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202024%2002:33:12%20GMT	http://www.qzxywy.com/	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/index.html	(from )
10:33:25	305074/305074	---MC-	200	added ('OK')	text/css	date:Mon,%2027%20May%202024%2015:06:45%20GMT	http://static203.yun300.cn/public/css/cecc/animate.css,iconfont.css,bootstrap.min.css,response.min.css?v=1635478830000&tenantId=234611&viewType=1	E:/Damon/My%20Web%20Sites/XINYI/static203.yun300.cn/public/css/cecc/animate.css,iconfont.css,bootstrap.min.css,response.min3bc7.css	(from http://www.qzxywy.com/)
10:33:26	1555/1555	---MC-	200	added ('OK')	text/css	etag:%22617b6b17-437%22	http://static203.yun300.cn/css/site_impt_r.css?v=1635478830000&tenantId=234611&viewType=1	E:/Damon/My%20Web%20Sites/XINYI/static203.yun300.cn/css/site_impt_r3bc7.css	(from http://www.qzxywy.com/)
10:33:27	90475/90475	---MC-	200	added ('OK')	text/css	etag:%22617b6b17-166d9%22	http://static203.yun300.cn/css/ftmpl_impt_fea11774-57c6-42ad-8c03-100a9601b9d9.css?v=1635478830000&tenantId=234611&viewType=1	E:/Damon/My%20Web%20Sites/XINYI/static203.yun300.cn/css/ftmpl_impt_fea11774-57c6-42ad-8c03-100a9601b9d93bc7.css	(from http://www.qzxywy.com/)
10:33:28	135721/135721	---MC-	200	added ('OK')	text/css	etag:%22617b6b17-21fdf%22	http://static203.yun300.cn/css/page_impt_Home.css?v=1635478830000&tenantId=234611&viewType=1	E:/Damon/My%20Web%20Sites/XINYI/static203.yun300.cn/css/page_impt_Home3bc7.css	(from http://www.qzxywy.com/)
10:33:29	22670/22670	---MCZ	200	added ('OK')	text/css	etag:W/%22617b6b08-588e%22	http://www.qzxywy.com/upload/css/faclass.css?t=1716863592646	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/css/faclassdb06.css	(from http://www.qzxywy.com/)
10:33:29	37438/37438	---MCZ	200	added ('OK')	text/css	etag:W/%22617b6b08-923e%22	http://www.qzxywy.com/upload/css/font-awesome.css?t=1716863592646	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/css/font-awesomedb06.css	(from http://www.qzxywy.com/)
10:33:29	601/601	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2002:33:20%20GMT	http://www.qzxywy.com/upload/css/hover.css?t=1716863592646	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/css/hoverdb06.css	(from http://www.qzxywy.com/)
10:33:30	605/605	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202024%2002:33:21%20GMT	http://www.qzxywy.com/upload/css/share.min.css?t=1716863592646	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/css/share.mindb06.css	(from http://www.qzxywy.com/)
10:33:30	7034/7034	---M--	200	added ('OK')	image/x-icon	etag:%22617b6b08-1b7a%22	http://www.qzxywy.com/favicon.ico	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/favicon.ico	(from http://www.qzxywy.com/)
10:33:31	2776/2776	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617b6b08-ad8%22	http://www.qzxywy.com/upload/js/delighters.js?t=1716863592697	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/js/delighters50c9.js	(from http://www.qzxywy.com/)
10:33:32	7057/7057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617b6b08-1b91%22	http://www.qzxywy.com/upload/js/wow.min.js?t=1716863592697	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/js/wow.min50c9.js	(from http://www.qzxywy.com/)
10:33:32	1827/1827	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617b6b08-723%22	http://www.qzxywy.com/upload/js/rellax.min.js?t=1716863592697	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/js/rellax.min50c9.js	(from http://www.qzxywy.com/)
10:33:34	40687/40687	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617b6b08-9eef%22	http://www.qzxywy.com/upload/js/anime.js?t=1716863592697	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/upload/js/anime50c9.js	(from http://www.qzxywy.com/)
10:33:34	74303/74303	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202024%2002:33:24%20GMT	http://www.qzxywy.com/Company.html	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/Company.html	(from http://www.qzxywy.com/)
10:33:38	40142/40142	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202024%2002:33:28%20GMT	http://www.qzxywy.com/Culture.html	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/Culture.html	(from http://www.qzxywy.com/)
10:33:40	47187/47187	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202024%2002:33:30%20GMT	http://www.qzxywy.com/Honor.html	E:/Damon/My%20Web%20Sites/XINYI/www.qzxywy.com/Honor.html	(from http://www.qzxywy.com/)
